Connected to BF Runtime Server as client 0
The target runs the program  RF
FlowID, PS, IPG, FS, IFG t1, t2, t3, t4, t5, host_ifg
41, 373, 5343645, 9329, 18988379, 2, 2, 2, 2, 2,5669.468833333333
101, 379, 4959414, 12450, 17861209, 2, 2, 2, 3, 2,46852.125044444445
41, 345, 4836906, 12646, 18085735, 2, 2, 2, 3, 2,5669.468833333333
41, 375, 4859944, 12646, 18085735, 2, 2, 2, 3, 2,5669.468833333333
41, 359, 4988047, 10415, 18934139, 2, 2, 2, 3, 2,5669.468833333333
101, 377, 4812913, 14193, 19878104, 2, 2, 2, 3, 2,46852.05804444444
101, 365, 5070980, 14193, 18397443, 2, 2, 2, 3, 2,869.8338
41, 379, 4831985, 14893, 20326588, 2, 2, 2, 3, 2,5669.468833333333
101, 398, 4776663, 14426, 17372380, 2, 2, 2, 3, 2,869.8678
41, 387, 4997216, 14893, 20326588, 2, 2, 2, 3, 2,5669.468833333333
41, 377, 4944744, 11975, 20302534, 2, 2, 2, 3, 2,5669.468833333333
41, 343, 4597731, 10498, 17869304, 2, 2, 2, 2, 2,42052.390011111114
41, 350, 5050908, 10498, 17869304, 2, 2, 2, 2, 2,42052.390011111114
101, 398, 4951003, 14046, 17214738, 2, 2, 2, 3, 2,869.9338
41, 354, 6004796, 13204, 17806501, 2, 2, 2, 3, 2,5669.468833333333
101, 413, 5705317, 15323, 15185414, 2, 2, 2, 3, 2,869.9678
41, 373, 6966398, 13123, 18870034, 2, 2, 2, 3, 2,5669.468833333333
101, 372, 6309641, 13740, 18010702, 2, 2, 2, 2, 2,870.0008
101, 371, 5858279, 14874, 16497072, 2, 2, 2, 3, 2,46851.824044444445
41, 364, 5937744, 13982, 18542826, 2, 2, 2, 3, 2,5669.468833333333
101, 396, 6259325, 16083, 17629655, 2, 2, 2, 2, 2,46851.79104444444
101, 381, 6014075, 15590, 17629655, 2, 2, 2, 3, 2,46851.79104444444
41, 345, 6986811, 13351, 21034339, 2, 2, 2, 3, 2,5669.468833333333
101, 348, 6617589, 13243, 18804156, 2, 2, 2, 3, 2,46851.75804444445
101, 377, 6154311, 13703, 16949693, 2, 2, 2, 3, 2,870.1348
41, 321, 7353626, 12113, 20847626, 2, 2, 2, 3, 2,5669.468833333333
101, 313, 7178411, 12229, 19440891, 2, 2, 2, 3, 2,870.1678
41, 279, 6720873, 9542, 21084734, 2, 2, 2, 3, 2,5669.468833333333
41, 279, 6302810, 9542, 21084734, 2, 2, 2, 2, 2,5669.468833333333
41, 256, 5960211, 9542, 21084734, 2, 2, 2, 3, 2,5669.468833333333
101, 279, 5870875, 10050, 15778294, 2, 2, 2, 2, 2,46851.62404444444
41, 282, 5716049, 8737, 14522091, 2, 2, 2, 3, 2,5669.468833333333
101, 269, 5833235, 9410, 13662547, 2, 3, 2, 2, 2,46851.591044444445
41, 261, 5754743, 7337, 13714954, 2, 2, 2, 3, 2,5669.468833333333
41, 281, 5452667, 7337, 13714954, 2, 2, 2, 3, 2,5669.468833333333
101, 278, 5898545, 7995, 13857101, 2, 2, 2, 3, 2,46851.55804444444
41, 332, 5716561, 11094, 13523237, 2, 2, 2, 3, 2,5669.468833333333
41, 317, 6720267, 11094, 13523237, 2, 2, 2, 3, 2,5669.468833333333
101, 367, 6519168, 11278, 12568584, 2, 2, 2, 3, 2,46851.49104444445
41, 335, 7150989, 11094, 12840883, 2, 2, 2, 2, 2,5669.468833333333
