Connected to BF Runtime Server as client 0
The target runs the program  RF
FlowID, PS, IPG, FS, IFG t1, t2, t3, t4, t5, host_ifg
41, 283, 7372709, 11711, 14040527, 2, 2, 2, 2, 2,5669.468833333333
41, 320, 7110371, 11711, 14040527, 2, 2, 2, 3, 2,5669.468833333333
41, 358, 7686428, 11711, 14040527, 2, 2, 2, 3, 2,5669.468833333333
41, 380, 7112835, 10810, 15706435, 2, 2, 2, 2, 2,5669.468833333333
101, 467, 6736440, 11128, 14895927, 2, 2, 2, 3, 2,873.9048
101, 424, 7066537, 10459, 14574172, 2, 2, 2, 3, 2,46847.95404444444
101, 420, 6990745, 10288, 12663114, 2, 2, 2, 3, 2,873.9378
41, 367, 6500432, 10130, 13246053, 2, 2, 2, 2, 2,5669.468833333333
41, 357, 6230772, 10130, 13246053, 2, 2, 2, 2, 2,5669.468833333333
41, 331, 5836453, 7911, 11463183, 2, 2, 2, 3, 2,5669.468833333333
41, 313, 5754013, 7911, 11463183, 2, 2, 2, 3, 2,5669.468833333333
41, 298, 6209404, 7911, 11463183, 2, 2, 2, 3, 2,5669.468833333333
41, 276, 5863231, 7911, 11463183, 2, 2, 2, 3, 2,5669.468833333333
41, 348, 5856987, 5760, 11334879, 2, 2, 2, 3, 2,5669.468833333333
101, 330, 6014946, 7605, 12299048, 2, 2, 2, 3, 2,46847.82104444444
41, 360, 5913943, 5760, 11334879, 2, 2, 2, 3, 2,5669.468833333333
41, 316, 5951142, 8461, 12433203, 2, 2, 2, 3, 2,5669.468833333333
101, 360, 5786106, 9758, 12675228, 2, 2, 2, 3, 2,874.1048
101, 345, 6483449, 9758, 12675228, 2, 2, 2, 2, 2,874.1048
101, 383, 6974282, 9339, 11332505, 2, 2, 2, 3, 2,0.034
41, 361, 7127340, 9055, 12529317, 2, 2, 2, 3, 2,5669.468833333333
101, 386, 6541130, 9325, 11337637, 2, 2, 2, 3, 2,874.1718
41, 340, 6827055, 7272, 11875301, 2, 2, 2, 3, 2,5669.468833333333
101, 347, 6931462, 8713, 12397885, 2, 2, 2, 3, 2,874.2048
101, 316, 7387002, 7499, 12505238, 2, 2, 2, 2, 2,46847.65404444445
41, 292, 7470254, 7272, 11555545, 2, 2, 2, 2, 2,5669.468833333333
101, 360, 6999055, 5939, 11575436, 2, 2, 2, 2, 2,874.2358
41, 336, 7350520, 5848, 11555545, 2, 3, 2, 2, 2,5669.468833333333
41, 370, 7611765, 5848, 12382833, 2, 3, 2, 2, 2,5669.468833333333
101, 359, 7189397, 8913, 12259044, 2, 2, 2, 3, 2,874.3048
41, 335, 7569645, 7053, 12382833, 2, 2, 2, 3, 2,5669.468833333333
41, 307, 7844961, 9980, 12158980, 2, 2, 2, 3, 2,5669.468833333333
41, 325, 7791373, 8817, 12139132, 2, 2, 2, 3, 2,42052.390011111114
101, 326, 7521248, 9992, 12397122, 2, 2, 2, 3, 2,874.3718
41, 276, 6868570, 8036, 12283981, 2, 2, 2, 3, 2,5669.468833333333
101, 320, 7597707, 10653, 14136317, 2, 2, 2, 3, 2,46847.453044444446
101, 302, 7928054, 10653, 14136317, 2, 2, 2, 3, 2,874.4388
101, 321, 7492560, 11642, 15364324, 2, 2, 2, 2, 2,46847.42004444444
101, 317, 7464028, 11642, 15364324, 2, 2, 2, 2, 2,46847.38704444445
101, 398, 7067387, 11608, 13736288, 2, 2, 2, 3, 2,46847.38704444445
41, 353, 7468465, 9049, 13749582, 2, 2, 2, 2, 2,5669.468833333333
101, 431, 7290165, 12244, 16020582, 2, 2, 2, 3, 2,46847.35304444445
101, 415, 7807126, 12244, 16020582, 2, 2, 2, 3, 2,46847.35304444445
101, 403, 8227169, 14163, 16180305, 2, 2, 2, 3, 2,874.5388
41, 385, 9391093, 12506, 17461116, 2, 2, 2, 3, 2,5669.468833333333
101, 411, 8769871, 13370, 16293385, 2, 2, 2, 3, 2,46847.28704444444
41, 407, 8897598, 12506, 16588495, 2, 2, 2, 3, 2,5669.468833333333
41, 345, 7904267, 11094, 16588495, 2, 2, 2, 3, 2,5669.468833333333
101, 372, 7840777, 11358, 15907303, 2, 2, 2, 3, 2,46847.25304444444
41, 338, 8913943, 11094, 16588495, 2, 2, 2, 3, 2,5669.468833333333
41, 404, 8980163, 12843, 16963612, 2, 2, 2, 3, 2,5669.468833333333
101, 395, 9371536, 12459, 16706054, 2, 2, 2, 3, 2,46847.220044444446
101, 421, 8806207, 12022, 14295093, 2, 3, 2, 2, 2,46847.18704444444
41, 375, 8263168, 9705, 14559928, 2, 2, 2, 3, 2,5669.468833333333
101, 433, 8153390, 11222, 14855512, 2, 2, 2, 3, 2,874.7058
101, 399, 7757731, 11222, 14855512, 2, 2, 2, 3, 2,46847.15304444444
101, 386, 7096876, 9883, 13434320, 2, 2, 2, 3, 2,874.7388
41, 354, 6602084, 9005, 15321326, 2, 2, 2, 3, 2,5669.468833333333
41, 372, 6340670, 9005, 15321326, 2, 2, 2, 2, 2,5669.468833333333
41, 363, 5930604, 9005, 15321326, 2, 2, 2, 3, 2,5669.468833333333
41, 331, 5583822, 9281, 15806933, 2, 2, 2, 3, 2,5669.468833333333
41, 347, 5757415, 9281, 15806933, 2, 2, 2, 3, 2,5669.468833333333
41, 313, 5737368, 9281, 15806933, 2, 2, 2, 3, 2,5669.468833333333
101, 382, 6185354, 9119, 13353114, 2, 2, 2, 3, 2,46847.02004444444
41, 337, 6084446, 8574, 15675186, 2, 2, 2, 3, 2,5669.468833333333
101, 382, 6323465, 8908, 13755648, 2, 2, 2, 2, 2,874.8718
41, 336, 6308310, 6968, 14996247, 2, 2, 2, 2, 2,5669.468833333333
101, 355, 6364437, 7510, 14055278, 2, 2, 2, 3, 2,874.9058
101, 344, 6374693, 9580, 13715819, 2, 2, 2, 3, 2,46846.92004444444
101, 385, 6350537, 9580, 13715819, 2, 2, 2, 2, 2,46846.92004444444
101, 333, 6233149, 10725, 15864203, 2, 2, 2, 3, 2,46846.88604444444
101, 342, 6142107, 10080, 15864203, 2, 2, 2, 3, 2,46846.88604444444
41, 290, 5763831, 7635, 16473615, 2, 2, 2, 3, 2,5669.468833333333
101, 311, 5486698, 8573, 15986043, 2, 2, 2, 3, 2,875.0058
41, 282, 5388333, 7635, 16473615, 2, 2, 2, 3, 2,5669.468833333333
41, 285, 5528835, 7635, 16599506, 2, 2, 2, 3, 2,5669.468833333333
41, 270, 6006985, 6836, 16599506, 2, 2, 2, 3, 2,42052.390011111114
41, 242, 5972946, 5532, 15808051, 2, 2, 2, 3, 2,42052.390011111114
101, 246, 5970946, 5039, 14711701, 2, 2, 2, 2, 2,875.1058
41, 227, 6046664, 4094, 14146024, 2, 2, 2, 3, 2,5669.468833333333
41, 203, 6270623, 4094, 14146024, 2, 2, 2, 3, 2,5669.468833333333
101, 219, 6616650, 3047, 13367784, 2, 2, 2, 3, 2,875.1388
41, 196, 6459901, 2530, 14131045, 2, 2, 2, 2, 2,5669.468833333333
101, 196, 7150354, 2289, 14576714, 2, 2, 2, 3, 2,0.033
41, 191, 7855916, 2530, 14131045, 2, 2, 2, 3, 2,5669.468833333333
101, 187, 7698135, 1645, 13283817, 2, 2, 2, 3, 2,875.2058
41, 180, 7547866, 1595, 14423234, 2, 2, 2, 2, 2,5669.468833333333
101, 161, 8090100, 1197, 12323163, 2, 2, 2, 3, 2,875.2388
101, 165, 7766461, 1084, 11571572, 2, 2, 2, 3, 2,28455.508544444445
101, 168, 7734897, 926, 13357331, 2, 2, 2, 2, 2,875.2728
101, 157, 7412460, 926, 13357331, 2, 2, 2, 2, 2,875.2728
101, 146, 7228021, 926, 13357331, 2, 2, 2, 3, 2,875.2728
101, 143, 6856618, 663, 13861803, 2, 2, 2, 3, 2,18391.0445
41, 138, 6681462, 683, 14098429, 2, 2, 2, 3, 2,5669.468833333333
101, 138, 6739972, 566, 13168098, 2, 2, 2, 3, 2,875.3388
101, 153, 6701251, 566, 13168098, 2, 2, 2, 3, 2,875.3388
41, 150, 7121645, 472, 13965335, 2, 2, 2, 2, 2,5669.468833333333
101, 148, 6323126, 426, 12991654, 2, 2, 2, 3, 2,0.034
41, 132, 6232250, 472, 13965335, 2, 2, 2, 2, 2,5669.468833333333
41, 129, 6114095, 328, 11874643, 2, 2, 2, 2, 2,5669.468833333333
101, 115, 5803702, 282, 11067437, 2, 2, 2, 2, 2,46846.453044444446
101, 129, 6223429, 268, 10937539, 2, 2, 2, 3, 2,875.4388
41, 123, 6812854, 226, 12123179, 2, 2, 2, 3, 2,5669.468833333333
101, 151, 7420653, 245, 12523477, 2, 2, 2, 3, 2,0.034
41, 140, 7033110, 226, 12123179, 2, 2, 2, 2, 2,5669.468833333333
41, 224, 6628137, 216, 13356650, 2, 2, 2, 3, 2,5669.468833333333
101, 228, 6658986, 2021, 13293663, 2, 2, 2, 3, 2,875.5058
101, 221, 6298790, 2021, 13293663, 2, 2, 2, 2, 2,875.5058
101, 319, 6416656, 4120, 16514284, 2, 2, 2, 3, 2,0.034
101, 393, 6130387, 9741, 16293892, 2, 2, 2, 3, 2,0.033
41, 343, 6810570, 7597, 15733890, 2, 2, 2, 3, 2,5669.468833333333
101, 380, 6500744, 10055, 16187414, 2, 2, 2, 2, 2,875.6058
41, 346, 7366365, 7597, 15733890, 2, 3, 2, 2, 2,5669.468833333333
101, 411, 8420066, 14665, 16101513, 2, 2, 2, 3, 2,0.034
101, 503, 7596887, 16992, 20187383, 2, 2, 2, 3, 2,0.033
101, 503, 7596887, 14138, 18783125, 2, 2, 2, 3, 2,46846.18604444445
101, 523, 7695657, 15805, 19675649, 2, 2, 2, 3, 2,875.7068
41, 496, 7540958, 12881, 20140987, 2, 2, 2, 2, 2,5669.468833333333
41, 463, 8523850, 12881, 20140987, 2, 2, 2, 2, 2,5669.468833333333
41, 473, 7621536, 16636, 19276451, 2, 2, 2, 3, 2,5669.468833333333
101, 529, 7358682, 20137, 18736835, 2, 2, 2, 3, 2,875.7728
41, 512, 7282382, 16636, 19276451, 2, 2, 2, 3, 2,5669.468833333333
41, 431, 7492777, 15224, 20061485, 2, 2, 2, 2, 2,5669.468833333333
101, 429, 8136568, 14813, 18870272, 2, 2, 2, 3, 2,46846.05204444444
101, 485, 9328030, 17440, 17652577, 2, 2, 2, 3, 2,46846.019044444445
41, 428, 9165169, 15400, 17655777, 2, 2, 2, 3, 2,5669.468833333333
101, 509, 8868123, 18563, 17642029, 2, 2, 2, 3, 2,875.8728
101, 490, 9738030, 18563, 17642029, 2, 2, 2, 3, 2,875.8728
101, 554, 9037885, 15754, 19646110, 2, 2, 2, 3, 2,0.034
101, 472, 9446377, 12688, 17232231, 2, 2, 2, 3, 2,46845.95204444444
101, 486, 9443942, 12688, 17551830, 2, 2, 2, 3, 2,875.9398
101, 509, 8712674, 11715, 17551830, 2, 2, 2, 3, 2,875.9398
101, 577, 8165183, 14151, 16378666, 2, 2, 2, 3, 2,875.9738
41, 549, 8542715, 12887, 16699837, 2, 2, 2, 2, 2,42052.390011111114
101, 485, 7778756, 11903, 15533220, 2, 2, 2, 3, 2,0.033
101, 441, 8367173, 9917, 15487767, 2, 2, 2, 3, 2,46845.852044444444
101, 547, 7849188, 14099, 15015940, 2, 2, 2, 3, 2,876.0398
41, 519, 7979965, 12844, 16725132, 2, 2, 2, 3, 2,5669.468833333333
41, 489, 7979965, 12844, 16725132, 2, 2, 2, 3, 2,5669.468833333333
101, 547, 8038144, 16726, 17341219, 2, 2, 2, 3, 2,0.034
41, 539, 8757806, 12260, 18606724, 2, 2, 2, 3, 2,5669.468833333333
101, 571, 8284386, 14175, 19208992, 2, 2, 2, 3, 2,46845.752044444445
41, 500, 7776583, 12260, 18606724, 2, 2, 2, 3, 2,5669.468833333333
41, 534, 7531385, 14937, 18973743, 2, 2, 2, 3, 2,5669.468833333333
41, 482, 7757748, 14937, 18973743, 2, 2, 2, 3, 2,5669.468833333333
101, 462, 7388382, 15148, 16568990, 2, 2, 2, 2, 2,876.1738
41, 404, 7188665, 14937, 18014981, 2, 2, 2, 3, 2,5669.468833333333
101, 393, 7093311, 11176, 17039514, 2, 2, 2, 3, 2,46845.65204444445
41, 350, 6754008, 11105, 18014981, 2, 2, 2, 3, 2,5669.468833333333
101, 430, 6839326, 14509, 16470448, 2, 2, 2, 3, 2,46845.61804444445
101, 390, 6969872, 12811, 15285660, 2, 2, 2, 3, 2,46845.61804444445
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
41, 369, 6604038, 12420, 16387820, 2, 2, 2, 3, 2,5669.468833333333
